,delta_time
1526,9
1527,14
1528,6
1529,14
1530,12
1531,5
1532,12
1533,17
1534,9
1535,5
1536,9
1537,14
1538,13
1539,5
1540,6
1541,13
1542,6
1543,9
1544,7
1545,21
1546,7
1547,12
1548,7
1549,12
1550,16
1551,15
1552,37
1553,9
1554,30
1555,33
1556,23
1557,8
1558,13
1559,9
1560,16
1561,8
1562,5
1563,5
1564,28
1565,9
1566,6
1567,5
1568,47
1569,6
1570,6
1571,13
1572,12
1573,5
1574,28
1575,7
1576,22
1577,9
1578,12
1579,6
1580,22
1581,8
1582,5
1583,13
1584,12
1585,4
1586,5
1587,12
1588,27
1589,21
1590,6
1591,6
1592,11
1593,6
1594,33
1595,13
1596,8
1597,105
1598,11
1599,8
1600,8
1601,13
1602,15
1603,7
1604,12
1605,7
1606,48
1607,21
1608,7
1609,6
1610,5
1611,13
1612,7
1613,14
1614,13
1615,13
1616,5
1617,6
1618,20
1619,22
1620,6
1621,14
1622,4
1623,5
1624,11
1625,6
1626,4
1627,15
1628,7
1629,11
1630,22
1631,8
1632,55
1633,22
1634,16
1635,25
1636,8
1637,25
1638,23
1639,8
1640,7
1641,5
1642,8
1643,15
1644,7
1645,7
1646,7
1647,7
1648,14
1649,8
1650,21
1651,8
1652,7
1653,20
1654,7
1655,7
1656,14
1657,7
1658,7
1659,10
1660,7
1661,4
1662,12
1663,7
1664,6
1665,7
1666,6
1667,12
1668,21
1669,10
1670,10
1671,14
1672,39
1673,13
1674,13
1675,11
1676,12
1677,10
1678,13
1679,13
1680,21
1681,27
1682,7
1683,6
1684,21
1685,5
1686,7
1687,12
1688,13
1689,20
1690,11
1691,6
1692,5
1693,5
1694,10
1695,11
1696,7
1697,11
1698,14
1699,7
1700,10
1701,19
1702,10
1703,10
1704,11
1705,21
1706,11
1707,38
1708,11
1709,11
1710,11
1711,21
1712,19
1713,7
1714,56
1715,14
1716,6
1717,6
1718,11
1719,5
1720,13
1721,5
1722,19
1723,13
1724,25
1725,19
1726,13
1727,18
1728,9
1729,26
1730,30
1731,12
1732,6
1733,13
1734,6
1735,6
1736,10
1737,14
1738,13
1739,9
1740,10
1741,21
1742,12
1743,10
1744,11
1745,9
1746,10
1747,14
1748,41
1749,10
1750,19
1751,47
1752,10
1753,12
1754,14
1755,10
1756,13
1757,34
1758,12
1759,20
1760,5
1761,24
1762,12
1763,5
1764,2
1765,17
1766,8
1767,13
1768,9
1769,10
1770,30
1771,8
1772,8
1773,5
1774,8
1775,8
1776,11
1777,17
1778,24
1779,17
1780,8
1781,9
1782,10
1783,23
1784,10
1785,8
1786,19
1787,19
1788,18
1789,12
1790,3
1791,25
1792,9
1793,12
1794,8
1795,10
1796,30
1797,10
1798,17
1799,60
1800,9
1801,5
1802,9
1803,12
1804,19
1805,11
1806,17
1807,11
1808,4
1809,10
1810,18
1811,3
1812,3
1813,9
1814,4
1815,4
1816,11
1817,10
1818,5
1819,9
1820,4
1821,17
1822,21
1823,22
1824,9
1825,23
1826,22
1827,17
1828,9
1829,7
1830,8
1831,12
1832,7
1833,9
1834,9
1835,11
1836,16
1837,10
1838,11
1839,10
1840,4
1841,8
1842,38
1843,2
1844,2
1845,18
1846,8
1847,8
1848,21
1849,9
1850,8
1851,12
1852,9
1853,22
1854,7
1855,17
1856,17
1857,11
1858,10
1859,7
1860,7
1861,24
1862,16
1863,7
1864,2
1865,28
1866,28
1867,19
1868,9
1869,4
1870,11
1871,8
1872,10
1873,9
1874,10
1875,17
1876,36
1877,16
1878,10
1879,19
1880,4
1881,4
1882,11
1883,8
1884,10
1885,16
1886,8
1887,18
1888,10
1889,9
1890,24
1891,4
1892,16
1893,22
1894,16
1895,11
1896,15
1897,7
1898,16
1899,6
1900,16
1901,21
1902,3
1903,10
1904,16
1905,17
1906,27
1907,8
1908,10
1909,6
1910,3
1911,13
1912,17
1913,8
1914,10
1915,11
1916,20
1917,23
1918,15
1919,22
1920,3
1921,7
1922,7
1923,23
1924,17
1925,8
1926,16
1927,20
1928,9
1929,6
1930,20
1931,9
1932,9
1933,10
1934,16
1935,28
1936,7
1937,9
1938,6
1939,43
1940,17
1941,17
1942,8
1943,10
1944,15
1945,10
1946,6
1947,36
1948,16
1949,9
1950,17
1951,3
1952,10
