,W,DDD,product_count,distance
424,1400,5376,1,404.23736832000446
425,3000,10530,1,509.71874800001257
426,1300,8000,1,129.7091045360113
427,1350,12250,1,236.34378274012752
428,10400,43560,1,486.13219492372735
429,4100,2560,1,361.2135122872465
430,4450,30624,1,86.4983157809169
431,400,7500,1,344.6664989405892
432,700,17523,1,414.9743495299005
433,650,8550,1,83.39753243269611
434,600,9800,1,1663.2935531407231
435,1250,8192,1,600.5753653317215
436,1400,7875,1,359.66329035275345
437,600,3780,1,991.3381747829706
438,300,5000,1,770.3370757818163
439,13700,84000,1,224.40841093337215
440,434,6174,1,294.2333985720693
441,1225,12100,1,67.0410590822223
442,200,2378,1,224.40841093337215
443,900,11400,1,1804.7116076194984
444,200,2340,1,10.639708401293388
445,1300,43992,1,0.0
446,200,1320,1,295.7474647032192
447,138,5168,1,910.3199177423467
448,4105,44890,1,584.2208513073482
449,850,2618,1,507.9502231089684
450,600,1800,1,0.0
451,246,2574,1,949.0372063673974
452,1000,12600,1,430.2029618827176
453,500,24000,3,0.0
454,950,3445,1,225.48645639601887
455,100,1040,1,304.1889438673277
456,200,1232,1,295.7474647032192
457,1050,252402,1,682.6292563682174
458,367,7728,1,383.1850815017536
459,100,1040,1,388.475838321624
460,1000,12800,2,0.0
461,2300,55440,1,729.8653738990851
462,350,5120,1,465.63054313204515
463,8450,42875,1,765.8982066961536
464,200,8000,1,430.2029618827176
465,200,8000,1,407.09042808540926
466,2363,6760,1,768.6950305618002
467,150,2240,1,0.0
468,600,9477,1,359.66329035275345
469,4000,51840,1,213.16823514587688
470,350,4096,1,486.13219492372735
471,400,11400,1,767.9238229631198
472,2500,10179,3,610.8920267954237
473,567,8480,1,130.3930632382325
474,3500,40467,1,0.0
475,1650,23625,1,359.66329035275345
476,175,3230,1,221.40413048454946
477,1500,6450,1,437.8058924340405
478,3000,8349,1,514.499674617344
479,1400,6450,1,0.0
480,3100,24500,1,0.0
481,3150,12420,1,1735.0159317950174
482,600,8100,1,467.94359523585086
483,100,704,1,350.29068422767057
484,100,4913,1,129.7091045360113
485,350,3192,4,475.55226914057283
486,5070,102144,1,130.3930632382325
487,900,11400,1,637.5429561331478
488,700,3168,1,486.13219492372735
489,1250,8192,1,294.2333985720693
490,1800,22050,1,359.66329035275345
491,600,6250,1,419.00082284930784
492,1600,11025,1,605.5037364395652
493,2300,10208,2,362.52341273275323
494,1000,4096,1,359.66329035275345
495,1200,4032,1,250.84331932677293
496,300,1584,1,357.89494116108875
497,600,8008,1,581.0243341074872
498,200,8000,5,175.55082086368975
499,400,4704,2,439.6637746720575
500,1000,4901,1,518.5836502197499
501,1500,30240,1,257.1156241214727
502,300,2730,1,636.7367208680658
503,3000,8349,1,870.6197420739945
504,1000,7650,4,949.0372063673974
505,600,1152,1,213.16823514587688
506,2500,6776,1,411.6154512055896
507,1181,12240,2,80.86386119918667
508,400,6300,1,884.5005546354118
509,3700,30625,1,0.0
510,700,850,1,107.55513086727537
511,700,850,1,297.3716836478293
512,300,2660,1,284.35806383903747
513,2450,6720,2,129.7091045360113
514,500,3248,1,509.71874800001257
515,700,10032,1,411.6154512055896
516,300,880,6,486.13219492372735
517,1300,13600,1,682.6292563682174
518,1100,21875,1,89.74547838782331
519,250,2640,1,811.8993961870453
520,100,8000,1,129.7091045360113
521,600,8100,1,384.46712757615404
522,1400,9600,1,67.0410590822223
523,225,6300,1,304.1889438673277
524,98,1428,2,200.4062047634358
525,400,9000,1,0.0
526,1000,7650,5,474.63524364087624
527,90,1980,1,0.0
528,2100,28000,1,693.6000107293708
529,200,2340,1,221.78328940428054
530,1200,3000,1,725.4811053535067
531,1600,8120,3,800.1745243155735
532,4700,28350,1,800.1745243155735
533,600,2400,1,647.8109168475024
534,17100,102144,1,1281.0804502114206
535,1600,15925,1,185.30507269172443
536,525,9280,1,235.914003420265
537,900,15750,1,499.4250540572777
538,1400,6450,1,79.3805606745736
539,300,4400,1,350.29068422767057
540,283,2700,1,232.8058831984695
541,283,2700,1,204.26269147097224
542,100,8000,1,0.0
543,5950,48000,1,64.31608931827373
544,538,9384,1,0.0
545,300,2240,1,574.8018749064452
546,638,7436,1,294.2333985720693
547,500,6615,1,486.13219492372735
548,6133,73920,1,495.03588420822166
549,1500,9075,1,467.94359523585086
550,500,25935,1,359.66329035275345
551,538,9384,1,12.364725212328237
552,900,5984,1,507.9502231089684
553,200,1232,1,15.860920661702124
554,3000,8349,2,767.9238229631198
555,3700,30625,1,791.3012654284889
556,1700,6072,1,682.6292563682174
557,150,8514,1,19.224284314864192
558,600,22400,1,359.66329035275345
559,175,2880,1,426.0692299162775
560,2400,13020,1,130.3930632382325
561,2000,17340,1,750.5922663066153
562,700,18000,3,242.8481943894111
563,900,13600,1,213.16823514587688
564,1900,14000,1,130.3930632382325
565,350,3192,1,250.84331932677293
566,225,6300,1,0.0
567,1420,16074,1,12.364725212328237
568,950,3445,2,659.3347930680249
569,150,2378,1,295.7474647032192
570,800,5984,1,509.71874800001257
571,125,1040,2,0.0
572,200,2304,1,304.1889438673277
573,400,2160,1,615.761306394282
574,700,1584,2,644.1521650568787
575,3700,10648,1,338.4160264555736
576,9000,35420,1,839.8672856927336
577,225,6300,2,509.71874800001257
578,300,880,5,486.13219492372735
579,1250,8192,1,0.0
580,3775,31500,1,349.9729836368977
581,1500,40000,1,477.9407905405489
582,200,1584,1,586.586343222632
583,1000,32400,1,0.0
584,900,11400,1,780.3270488815978
585,300,18375,1,391.9287739174002
586,2400,13020,1,295.7474647032192
587,12000,222180,1,0.0
588,950,23625,2,605.5037364395652
589,4300,10571,1,250.84331932677293
590,1804,42240,1,411.6154512055896
591,200,1232,1,0.0
592,5333,38988,2,570.1279923597277
593,550,4500,1,527.5534412133487
594,250,1680,2,277.8470353384588
595,1900,8000,2,383.1850815017536
596,100,5120,3,988.7428184471895
597,900,23616,2,507.9502231089684
598,400,352,1,486.13219492372735
599,4000,9880,1,388.475838321624
600,200,1728,1,294.2333985720693
601,900,11400,1,647.9647020496632
602,400,2875,1,725.076866558363
603,225,6300,1,430.2029618827176
604,1600,5130,1,571.9620647342527
605,1100,8000,1,19.224284314864192
606,800,3000,1,449.81412987366343
607,1600,26752,1,754.6223514846691
608,150,1584,1,31.160839841906494
609,434,6174,1,361.2135122872465
610,1500,18750,2,414.9743495299005
611,5950,48000,1,406.01812739932984
612,300,352,1,449.81412987366343
613,1450,26928,1,507.9502231089684
614,98,1428,1,686.4234614339093
615,100,8000,1,717.2662965508529
616,2400,13020,1,295.7474647032192
617,1950,36750,1,910.3199177423467
618,250,4256,1,509.71874800001257
619,350,24300,1,0.0
620,681,7644,1,693.6000107293708
621,550,7000,1,546.9359398591897
622,7400,16000,1,389.5596721103011
623,150,1232,1,0.0
624,417,9702,1,359.66329035275345
625,300,4096,1,1525.2874278779464
626,400,2664,1,507.9502231089684
627,350,8316,1,486.13219492372735
